opus_no,subpanel,coordinator_title,institution,name_short
7,ST3,dr,Instytut Fizyki PAN,"Wpływ długości drogi swobodnej w parze, temperatury i składu cieczy na proces parowania w nano i mikroskali"
7,ST4,dr,"Uniwersytet Wrocławski, Wydział Chemii",Zrozumieć reaktywność disiarczków - mechanochemiczne spojrzenie.
12,ST4,dr,"Uniwersytet Wrocławski, Wydział Chemii",Badania nad temperaturową zależnością rozmiarów atomów H i D w ciele stałym metodą dynamiki molekularnej ab initio....
8,HS1,dr,"Uniwersytet Łódzki, Wydział Filozoficzno-Historyczny, Wydział Filozoficzno-Historyczny",Od składni i pragmatyki do treści - semantyka hybrydowa oparta na dyrektywalnej teorii znaczenia
8,HS2,dr,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Historyczny, Wydział Historyczny",Transformacja w sztuce w Postkomunistycznej Europie
8,HS2,dr,Instytut Podstaw Informatyki Polskiej Akademii Nauk,Model formalny diachronicznego opisu fleksji polskiej i jego komputerowa implementacja
8,HS2,dr,Instytut Podstaw Informatyki Polskiej Akademii Nauk,Ujednolicona teoria koreferencji w języku polskim i jej korpusowa weryfikacja
8,NZ3,dr,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Biologii",Fizjologiczne funkcje wewnątrzbłonowych proteaz chloroplastowych AtEgy
8,NZ7,dr,Instytut Fizyki Jądrowej im. Henryka Niewodniczańskiego PAN,Oszacowanie narażenia radiologicznego 131I pracowników zakładów medycyny nuklearnej oraz rodzin pacjentów poddanych zabi...
8,ST10,dr,Instytut Chemii Fizycznej PAN,"Rozpoznanie Składu Chemicznego Frakcji Organicznej Pyłu Zawieszonego PM1, PM2.5 i PM10 na Obszarach Pozamiejskich w Aspe..."
8,ST2,dr,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie, Wydział Fizyki i Informatyki Stosowanej, Wydział Fizyki i Informatyki Stosowanej",Stan początkowy i ewolucja gorącej materii w zderzeniach proton-proton i proton-jądro na LHC
8,ST5,dr,Instytut Chemii Organicznej PAN,Wykorzystanie asymetrycznego sigmatropowego przegrupowania cyjanianów allilowych w syntezie aminokwasów i ich pochodnych...
8,ST8,dr,Narodowe Centrum Badań Jądrowych,Synteza i charakteryzacja warstw azotku miedzi otrzymywanych metodami plazmowej inżynierii powierzchni
8,ST8,dr,Instytut Podstawowych Problemów Techniki PAN,Wspomaganie trombolizy przy pomocy streamingu ultradźwiękowego
8,ST9,dr,"Uniwersytet Jagielloński, Wydział Fizyki, Astronomii i Informatyki Stosowanej, Wydział Fizyki, Astronomii i Informatyki Stosowanej",Wpływ warunków fizyczno-chemicznych na proces powstawania gwiazd: identyfikacja i analiza własności młodych obiektów gwi...
9,HS4,dr,"Uniwersytet Mikołaja Kopernika, Wydział Nauk Ekonomicznych i Zarządzania, Wydział Nauk Ekonomicznych i Zarządzania",Redefinicja problemu skali oraz problemu agregacji w ramach zagadnienia Modifiable Areal Unit Problem
9,HS6,dr,"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej, Wydział Nauk Pedagogicznych, Wydział Nauk Pedagogicznych",Doświadczanie macierzyństwa przez kobiety z niepełnosprawnością intelektualną
9,ST10,dr,Instytut Oceanologii Polskiej Akademii Nauk,Wpływ Prądu Zachodniospitsbergeńskiego na rozmieszczenie metali ciężkich w dwóch fiordach Zachodniego Spitsbergenu
11,NZ7,dr,"Warszawski Uniwersytet Medyczny, I Wydział Lekarski","Ocena skuteczności nowych, synergistycznych kombinacji leków w terapii nowotworów wywodzących się z limfocytów B"
10,HS4,dr,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Collegium Polonicum w Słubicach, Collegium Polonicum w Słubicach",Kultura planowania przestrzennego w małych i średnich miastach
10,HS4,dr,"Uniwersytet Jagielloński - Collegium Medicum, Collegium Medicum, Wydział Nauk o Zdrowiu, Collegium Medicum, Wydział Nauk o Zdrowiu",Badanie czynników i poziomu satysfakcji zawodowej polskich lekarzy w porównaniu z lekarzami z innych krajów Europy - w k...
10,HS4,dr,"Uniwersytet Przyrodniczy we Wrocławiu, Wydział Przyrodniczo-Technologiczny",Procesy koncentracji a pryncypia zrównoważonego rozwoju rolnictwa
10,HS6,dr,"Uniwersytet Jagielloński, Wydział Filozoficzny","Wpływ emocji na procesy percepcyjne, hamowanie reakcji i monitorowanie błędów. Analiza potencjałów związanych ze zdarzen..."
10,HS6,dr,Instytut Filozofii i Socjologii Polskiej Akademii Nauk,"Status, sprawiedliwość i legitymizacja nierówności: wpływ płci i statusu rodzicielskiego na ocenę sprawiedliwości zarobk..."
10,NZ1,dr,Instytut Biochemii i Biofizyki Polskiej Akademii Nauk,Mechanizmy chroniące przed uszkodzeniami oksydacyjnymi podczas starzenia
12,NZ7,dr,"Uniwersytet Gdański, Międzyuczelniany Wydział Biotechnologii Uniwersytetu Gdańskiego i Gdańskiego Uniwersytetu Medycznego",Ewaluacja potencjału fotoinaktywacji w eradykacji nosicielstwa Streptococcus agalactiae w układzie moczowo-płciowym: bad...
10,ST4,dr,Instytut Chemii Organicznej Polskiej Akademii Nauk,Transfer chiralności w widmach oscylacyjnej spektroskopii chiralooptycznej
11,HS3,dr,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Historyczny",Praktyka archiwalna w świetle duplikatów w Babilonii w I tysiącleciu przed Chrystusem.
11,HS4,dr,"Uniwersytet Warszawski, Wydział Nauk Ekonomicznych",Równoległa konwergencja dochodu i osiągnięć edukacyjnych w Polsce na poziomie regionalnym i lokalnym - analiza dynamiki ...
11,HS4,dr,"Wyższa Szkoła Bankowa w Toruniu, Wydział Finansów i Zarządzania",Procedura budowy modelu prognostycznego z wykorzystaniem metody BACE dla modelu zgodnego
11,HS4,dr,Fundacja Adeptów i Miłośników Ekonomii (FAME),Kształtowanie oczekiwań i ich wplyw na skuteczność polityki pieniężnej
11,HS4,dr,"Szkoła Główna Handlowa w Warszawie, Kolegium Nauk o Przedsiębiorstwie","""Kontrproduktywne organizacje"" - jak i kiedy firmy niszczą wydajność swoich pracowników?"
11,HS5,dr,"Uniwersytet Mikołaja Kopernika, Wydział Prawa i Administracji",Zasada zdolności do świadczenia podatkowego
11,HS6,dr,"SWPS Uniwersytet Humanistycznospołeczny w Warszawie, Wydział Psychologii",Mimikra emocji w kontekście społecznym. Znaczenie mimicznego sprzężenia zwrotnego i naśladownictwa emocji negatywnych dl...
11,HS6,dr,Instytut Biologii Doświadczalnej im. M. Nenckiego Polskiej Akademii Nauk,Neuronalne korelaty terapii opartej na czasowym przetwarzaniu informacji u osób z afazją.
11,NZ6,dr,"Uniwersytet Warszawski, Wydział Biologii",Opracowanie wieloskładnikowej szczepionki podjednostkowej ograniczającej poziom kolonizacji jelit kurcząt przez pałeczki...
11,NZ9,dr,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Biologii",Badania nad rolą niskocząsteczkowych RNA w odpowiedzi na stres wysokiej temperatury w jęczmieniu
11,ST1,dr,Instytut Matematyczny Polskiej Akademii Nauk,Własności arytmetyczne grup formalnych
11,ST7,dr,"Politechnika Łódzka, Wydział Fizyki Technicznej, Informatyki i Matematyki Stosowanej",Dynamiczny model lasera VCSEL przeznaczonego do systemów optycznego przesyłu danych na małe odległości
11,ST8,dr,"Politechnika Koszalińska, Wydział Technologii i Edukacji",Optymalizacja wielokryterialna powłok gradientowych ze względu na właściwości przeciwzużyciowe
11,ST8,dr,"Politechnika Lubelska, Wydział Mechaniczny",Analiza numeryczna i weryfikacja doświadczalna metod wyznaczania krytycznego współczynnika uwalniania energii w przypadk...
12,HS4,dr,"Politechnika Wrocławska, Wydział Informatyki i Zarządzania",Segmentacja konsumentów energii elektrycznej za pomocą fazowego modelu zmiany: Analiza czynników wpływających na akcepta...
12,HS4,dr,"Uniwersytet Ekonomiczny w Krakowie, Wydział Zarządzania",Znaczenie informacyjne kar nałożonych przez Komisję Nadzoru Finansowego na spółki notowane na Giełdzie Papierów Wartości...
12,HS4,dr,"Uniwersytet Warszawski, Wydział Geografii i Studiów Regionalnych","Determinanty modelu koordynacji lokalnych usług publicznych w kontekście ekonomii kosztów transakcyjnych, charakterystyk..."
12,NZ8,dr,"Uniwersytet Warszawski, Wydział Biologii",Grzyby Mortierellomycotina jako symbiotyczne organizmy siedlisk oligotroficznych
12,ST2,dr,"Uniwersytet Wrocławski, Wydział Fizyki i Astronomii",Masywne gwiazdy supernowe jako sygnały ekstremalnych stanów materii
12,ST5,dr,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Chemii","Nowy, obiecujący katalizator w ekologicznym otrzymywaniu tlenku propylenu z propanu lub propenu"
12,ST9,dr,"Uniwersytet Mikołaja Kopernika, Wydział Fizyki, Astronomii i Informatyki Stosowanej",Gorące jowisze na niekołowych orbitach: poszukiwanie dodatkowych planet i detekcja oddziaływań planeta-gwiazda
13,HS3,dr,Instytut Archeologii i Etnologii Polskiej Akademii Nauk,Interpretacja przestrzenno-funkcjonalna wybranych obozowisk kultury janisławickiej
13,HS4,dr,"Uniwersytet Przyrodniczy w Poznaniu, Wydział Ekonomiczno-Społeczny",Zastosowanie metod ilościowych do przewidywania efektów zmian Wspólnej Polityki Rolnej Unii Europejskiej
13,HS6,dr,"Uniwersytet Kazimierza Wielkiego, Wydział Pedagogiki i Psychologii",Kompensacyjna aktywność mózgu osób starszych. Poszukiwanie wskaźników elektrofizjologicznych zaangażowanych w nią proces...
13,HS6,dr,"SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie, Wydział Psychologii",Jak działa intuicja. Udział procesów poznawczych i afektywnych w intuicyjnych sądach na temat spójności semantycznej...
13,HS6,dr,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Historyczny",Energetyzując świat: STS i antropologia ku społecznym studiom nad nowymi energiami
13,HS6,dr,"Uniwersytet Warszawski, Wydział Psychologii","Mechanizmy neuropoznawcze rozwoju teorii umysłu u dzieci typowo rozwijających się, z podwyższonym ryzykiem wystąpienia z..."
13,NZ1,dr,Międzynarodowy Instytut Biologii Molekularnej i Komórkowej,Opracowanie metody umożliwiającej rutynową i wiarygodną analizę tuneli transportowych w białkach
13,NZ3,dr,"Uniwersytet Jagielloński, Małopolskie Centrum Biotechnologii Uniwersytetu Jagiellońskiego",Molekularna charakterystyka przekazu sygnału od fototropin do układu ruchowego chloroplastów w Arabidopsis thaliana
13,NZ4,dr,"Uniwersytet Łódzki, Wydział Biologii i Ochrony Środowiska",Neuronalne i behawioralne korelaty rytmu theta generowanego w obszarze tylnego podwzgórza - badania in vivo oraz in vitr...
13,NZ5,dr,Instytut Medycyny Doświadczalnej i Klinicznej im. Mirosława Mossakowskiego Polskiej Akademii Nauk,Identyfikacja i terapeutyczne wykorzystanie szlaków molekularnych regulowanych przez proteasom w chorobach nowotworowych...
13,NZ5,dr,"Uniwersytet Warszawski, Centrum Nowych Technologii Uniwersytetu Warszawskiego",Rola katuliny w regulacji oddziaływań między komórką a macierzą zewnątrzkomórkową w procesie inwazji i metastazy w nowot...
13,NZ8,dr,"Uniwersytet Jagielloński, Wydział Biologii",Znaczenie ewolucyjne i podstawy genetyczne stanu spoczynku (G0) głodzonych populacji drożdży Saccharomyces cerevisiae
13,NZ8,dr,Instytut Oceanologii Polskiej Akademii Nauk,"Wpływ Wody Atlantyckiej na strukturę taksonomiczną i funkcjonalną zooplanktonu arktycznych fiordów, w aspekcie przestrze..."
13,NZ9,dr,Instytut Rozrodu Zwierząt i Badań Żywności Polskiej Akademii Nauk,"Produkcja wybranych hormonów w układzie rozrodczym nieciężarnych i ciężarnych samic, charakterystyka ich oocytów oraz wł..."
13,ST1,dr,"Uniwersytet Mikołaja Kopernika, Wydział Matematyki i Informatyki",Półliniowe równania różniczkowe cząstkowe z operatorami nielokalnymi i miarami borelowskimi
13,ST10,dr,"Uniwersytet Warmińsko-Mazurski w Olsztynie, Wydział Geodezji, Inżynierii Przestrzennej i Budownictwa",Określenie specyfiki nieregularności jonosferycznych przy pomocy obserwacji z satelitów SWARM
13,ST10,dr,Instytut Biochemii i Biofizyki Polskiej Akademii Nauk,Ilościowa ocena transportu osadów z lodowców Szetlandów Południowych na podstawie wybranych metod teledetekcyjnych
13,ST4,dr,Instytut Chemii Fizycznej Polskiej Akademii Nauk,Analiza bezmarkerowa krążących komórek rakowych w krwi przy użyciu powierzchniowo-wzmocnionej spektroskopii Ramana sprzę...
13,ST5,dr,"Politechnika Śląska, Wydział Chemiczny",Niskonapięciowe organiczne urządzenia optoelektroniczne wykorzystujące nośniki ekscypleksowe. Nowoczesne zastosowanie op...
13,ST6,dr,"Uniwersytet Wrocławski, Wydział Matematyki i Informatyki","Klasyczne problemy w teorii automatów skończonych: nowe podejścia, warianty i zastosowania"
13,ST7,dr,"Uniwersytet Mikołaja Kopernika, Wydział Fizyki, Astronomii i Informatyki Stosowanej","Wielofunkcyjne struktury hybrydowe nowej generacji na bazie perowskitów, tlenków i związków organicznych do zastosowań w..."
13,ST8,dr,Instytut Energetyki - Instytut Badawczy,Opracowanie oraz badania hybrydowego reaktora SOE/MCFC do syntezy lekkich węglowodorów w oparciu o wysokotemperaturowe p...
13,ST8,dr,Instytut Wysokich Ciśnień Polskiej Akademii Nauk,Wpływ szybkości deformacji na mikrostrukturę i własności mechaniczne metali poddanych dużym odkształceniom plastycznym n...
13,ST8,dr,"Uniwersytet Gdański, Wydział Chemii",Nowe materiały półprzewodnikowe do fotokatalitycznego generowania wodoru: mechanizm formowania w obecności cieczy jonowy...
13,ST8,dr,"Politechnika Gdańska, Wydział Chemiczny",Badania przemian związków chemicznych w warunkach kawitacji.
14,HS2,dr,"Wydział Anglistyki, Wydział Anglistyki","""Przyszła ona do nas brzemienna"": fenomenologia ciąży w angielskim dramacie wczesnonowożytnym (""Miarka za miarkę"", 2.1.9..."
14,HS3,dr,"Wydział Nauk Historycznych i Pedagogicznych, Wydział Nauk Historycznych i Pedagogicznych",Rozwój ośrodków centralnych państwa Piastów od X do XII wieku na przykładzie wrocławskiego Ostrowa Tumskiego
14,HS3,dr,"Uniwersytet Jagielloński, Wydział Historyczny, Wydział Historyczny","Malowidła ścienne z Chajul: dokumentacja, konserwacja i interpretacja unikatowych fresków Majów z wyżyn Gwatemali."
14,HS4,dr,"Wydział Finansów i Prawa, Wydział Finansów i Prawa",Analiza procesów innowacyjnych - ujęcie schumpeterowskie
14,HS4,dr,Fundacja Adeptów i Miłośników Ekonomii (FAME),Wnioskowanie normatywne z cen aktywów
14,HS4,dr,"Politechnika Wrocławska, Wydział Informatyki i Zarządzania, Wydział Informatyki i Zarządzania",Analiza i modelowanie wizualnych procesów uwagowych w cyfrowym przekazie marketingowym
14,HS6,dr,"Wydział Filozoficzny, Wydział Filozoficzny",Mechanizmy kontroli językowej leżącej u podłoża generowania mowy u osób dwujęzycznych: badania z użyciem funkcjonalnego ...
14,NZ1,dr,"Wydział Biologii i Hodowli Zwierząt, Wydział Biologii i Hodowli Zwierząt",Regulacja fotomorfogenezy Arabidopsis thaliana przez Elongator - białkowy kompleks epigenetycznie regulujący ekspresję g...
14,NZ1,dr,Instytut Chemii Bioorganicznej Polskiej Akademii Nauk,Zmiany w składzie białek rybosomalnych i w oddziałujących z rybosomami krótkich niekodujących RNA w Saccharomyces cerevi...
14,NZ2,dr,Instytut Genetyki i Hodowli Zwierząt Polskiej Akademii Nauk,Wpływ długotrwałego działania kortykosteronu na transkryptom mózgu myszy laboratoryjnej
14,NZ3,dr,"Wydział Biologii i Nauk o Ziemi, Wydział Biologii",Rola autofagii w regulacji zegara okołodobowego Drosophila melanogaster
14,NZ7,dr,"Collegium Medicum, Wydział Farmaceutyczny, Collegium Medicum, Wydział Farmaceutyczny","7,8-dipodstawione pochodne teofiliny będące silnymi inhibitorami wybranych izoenzymów PDE, jako nowe związki o potencjal..."
14,NZ7,dr,Instytut Farmakologii Polskiej Akademii Nauk,Rola wybranych glutaminianergicznych receptorów metabotropowych w mechanizmie szybkiego efektu przeciwdepresyjnego RS-ke...
14,NZ8,dr,"Wydział Oceanografii i Geografii, Wydział Oceanografii i Geografii",HIDEA - Ukryta różnorodność planktonu w Arktyce Europejskiej
14,NZ9,dr,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Biologii i Biotechnologii, Wydział Biologii i Biotechnologii",Kompleks enzymatyczny glikozylotransferaz Rhizobium leguminosarum jako model bakteryjnego szlaku biosyntezy egzopolisach...
14,NZ9,dr,Instytut Rozrodu Zwierząt i Badań Żywności Polskiej Akademii Nauk,Wpływ sygnału zarodkowego na zarodek oraz na globalny profil ekspresji genów i ich metylację w endometrium świni in vivo...
14,ST1,dr,"Uniwersytet Warszawski, Wydział Matematyki, Informatyki i Mechaniki, Wydział Matematyki, Informatyki i Mechaniki","Dowodliwość, obliczenia i kombinatoryka na niskich i średnich poziomach hierarchii Gödla"
14,ST10,dr,"Uniwersytet Warszawski, Wydział Geologii, Wydział Geologii",Wielowskaźnikowy geochemiczny i biotyczny zapis zdarzenia środkowego mastrychtu
14,ST10,dr,Instytut Nauk Geologicznych Polskiej Akademii Nauk,"Transformacje minerałów i dystrybucja REE, Th, U i Pb w procesach przeobrażeń monacytu, ksenotymu i allanitu w nano- i m..."
14,ST4,dr,Instytut Chemii Fizycznej Polskiej Akademii Nauk,Rozwój ultraszybkiej spektroskopii stymulowanego rozpraszania Ramana wzmocnionego przez nanoanteny optyczne
14,ST8,dr,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie, Wydział Inżynierii Mechanicznej i Robotyki, Wydział Inżynierii Mechanicznej i Robotyki",Mechanizmy utraty stabilności wysokoobrotowych łożysk foliowych - modelowanie i badania eksperymentalne sprzężeń termome...
15,HS3,dr,Instytut Archeologii i Etnologii Polskiej Akademii Nauk,Poprzez ciało w ruchu. Antropologiczne studium ucieleśnionych doświadczeń i zmiany tożsamości uczestniczek kultury fitne...
15,HS4,dr,"Wydział Zarządzania, Wydział Zarządzania","Analiza dobrobytu gospodarstw domowych i konsumpcji w Polsce, Francji i w Turcji z wykorzystaniem danych o wartości prod..."
15,HS5,dr,"Uniwersytet Gdański, Wydział Prawa i Administracji, Wydział Prawa i Administracji",Spór o wykładnię konstytucji Królestwa Polskiego jako formatyw polskiego liberalizmu politycznego
15,HS6,dr,"Wydział Psychologii, Wydział Psychologii",Komu zaufać? Poznawcze determinanty uczenia się od innych osób.
15,HS6,dr,Instytut Filozofii i Socjologii Polskiej Akademii Nauk,Międzypokoleniowe transakcje: praca relacyjna i moralne ramy w transferach majątku od rodziców do ich dorosłych dzieci...
15,HS6,dr,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Humanistyczny, Wydział Humanistyczny",Czy silna identyfikacja może szkodzić grupie? Rola bezpiecznych i defensywnych form identyfikacji w grupą w relacjach we...
15,NZ3,dr,Instytut Biochemii i Biofizyki Polskiej Akademii Nauk,Integracja przekazu sygnału od światła i stresu osmotycznego- funkcje molekularne białka PMI1 z Arabidopsis thaliana....
15,NZ3,dr,"Studium Kliniczno-Dydaktyczne, Studium Kliniczno-Dydaktyczne",Określenie mechanizmów i kluczowych partnerów molekularnych kontrolujących ekspresję białek oporności wielolekowej (P-gp...
15,NZ9,dr,Wydział Nauk o Zwierzętach,Bioaktywność kannabidiolu i nano-selenu w utrzymaniu potencjału immunologicznego oraz integralności przewodu pokarmowego...
15,ST10,dr,"Uniwersytet Warszawski, Wydział Geologii, Wydział Geologii",Mezofotyczne ekosystemy koralowców w środkowopaleozoicznym stadium rozkwitu raf
15,ST10,dr,"Uniwersytet Przyrodniczy we Wrocławiu, Wydział Przyrodniczo-Technologiczny, Wydział Przyrodniczo-Technologiczny","Erozja i rozwój gleb w krajobrazie lessowym Wzgórz Trzebnickich w ujęciu badań izotopowych (10Be, 239+240Pu) i datowań O..."
15,ST4,dr,"Wydział Chemii, Wydział Chemii",Badanie spektroskopowe zmiennych konformacyjnie monowarstw peptydowych związanych z metalem: ku nowym wszechstronnym nan...
15,ST4,dr,Instytut Chemii Bioorganicznej Polskiej Akademii Nauk,Niskocząsteczkowe narzędzia do badania lokalnego mikrośrodowiska białek
15,ST6,dr,"Uniwersytet Warszawski, Wydział Chemii, Wydział Chemii",Połączenie metody Rosetta z gruboziarnistym modelem SURPASS w nowy wieloskalowy algorytm modelowania białek i ich komple...
15,ST6,dr,"Uniwersytet Wrocławski, Wydział Matematyki i Informatyki, Wydział Matematyki i Informatyki",Optymalizacja kombinatoryczna przez pryzmat trasy komiwojażera i skojarzeń
15,ST7,dr,"Wydział Elektroniki i Telekomunikacji, Wydział Elektroniki i Telekomunikacji",Komunikacja bezprzewodowa pomiędzy pojazdami w konwoju z wykorzysatniem bogatej informacji kontekstowej i dynamicznego d...
15,ST8,dr,"Wydział Technologii i Inżynierii Chemicznej, Wydział Technologii i Inżynierii Chemicznej",Badania procesu powlekania włókien włókienniczych aktywnymi nieorganicznymi cząstkami i szczepienia związkami fosforoorg...
15,ST8,dr,"Wydział Mechaniczny Technologiczny, Wydział Mechaniczny Technologiczny","Podejście termodynamiczne w projektowaniu amorficznych, nanokrystalicznych i kwazikrystalicznych stopów na osnowie alumi..."
16,HS1,dr,"Wydział Filozofii i Socjologii, Wydział Filozofii i Socjologii",Filozoficzne idee pierwotnego buddyzmu: krytyczna rekonstrukcja przy zastosowaniu podejścia interdyscyplinarnego
16,HS2,dr,"Uniwersytet Warszawski, Wydział ""Artes Liberales"", Wydział ""Artes Liberales""","Szaleństwo po ustawie Basaglii: interdyscyplinarne badanie związków medycyny, literatury i myśli politycznej w włoskiej ..."
16,HS2,dr,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Filologiczny, Wydział Filologiczny",Milenium. Obchody rocznicy chrztu w Europie Środkowej i Wschodniej - analiza porównawcza
16,HS4,dr,"Politechnika Łódzka, Wydział Zarządzania i Inżynierii Produkcji, Wydział Zarządzania i Inżynierii Produkcji",Znaczenie posiadania nieruchomości mieszkalnej jako źródła zabezpieczenia emerytalnego: między państwem a rynkiem
16,HS4,dr,"Uniwersytet Warszawski, Wydział Nauk Ekonomicznych, Wydział Nauk Ekonomicznych",Przyczyny i skutki niedopasowań edukacyjnych i kwalifikacyjnych absolwentów na rynku pracy w Polsce
16,HS5,dr,"Wydział Prawa i Administracji, Wydział Prawa i Administracji",Uregulowania prawne relacji pomiędzy dziedzicami a chłopami na centralnych ziemiach polskich w okresie od zniesienia pod...
16,HS5,dr,"Uniwersytet w Białymstoku, Wydział Prawa, Wydział Prawa",Czy negocjowanie podatków jest sprawiedliwe? Alternatywne metody rozwiązywania sporów podatkowych w świetle standardów k...
16,HS6,dr,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie, Wydział Filozofii Chrześcijańskiej, Wydział Filozofii Chrześcijańskiej",Teoria podwójnego przypominania jako nowa perspektywa w badaniach pamięci epizodycznej. Specyfika przetwarzania właściwo...
16,NZ8,dr,"Wydział Biologii i Ochrony Środowiska, Wydział Biologii i Ochrony Środowiska",Integratywne badania radiacji adaptacyjnej w starożytnych jeziorach - przykład endemicznej grupy gatunków kiełży (Gammar...
16,ST1,dr,Instytut Matematyczny Polskiej Akademii Nauk,Rozmaitości typu Calabi-Yau
16,ST2,dr,Instytut Fizyki Polskiej Akademii Nauk,Krople kwantowe od podstaw
16,ST5,dr,"Wydział Chemii, Wydział Chemii",Selektywny transport anionów o znaczeniu biologicznym przez dwuwarstwy lipidowe
16,ST6,dr,"Uniwersytet Jagielloński, Wydział Matematyki i Informatyki, Wydział Matematyki i Informatyki",Głębokie przetwarzanie danych strukturalnych
16,ST8,dr,Instytut Maszyn Przepływowych im. Roberta Szewalskiego Polskiej Akademii Nauk,Zjawisko transformacji fal akustycznych w fale sprężyste na skutek interakcji z ciałem stałym
16,ST8,dr,"Centrum NanoBioMedyczne, Centrum NanoBioMedyczne",Opracowanie nowoczesnych nanomateriałów dla potrójnej terapii raka wątrobokomórkowego
2,HS4,dr,Instytut Zachodni - Instytut Naukowo-Badawczy im. Zygmunta Wojciechowskiego,Polskie inwestycje bezpośrednie na dojrzałych rynkach Unii Europejskiej. W kierunku teorii ugruntowanej.
11,HS6,dr,"Uniwersytet Jagielloński, Wydział Filozoficzny",Reinterpretacja emocjonalna. Badanie neuronalnych mechanizmów specyficznych dla zmiany poznawczej.
1,ST10,dr,"Uniwersytet Wrocławski, Wydział Nauk o Ziemi i Kształtowania Środowiska",Bentonity jako chronohoryzonty w wizenie Sudetów
10,HS6,dr,"Uniwersytet Jagielloński, Wydział Filozoficzny",Teoria zaangażowania w realizację celów
1,HS2,dr,Instytut Badań Literackich PAN,Epikurejska idea szczęścia w literaturze polskiej renesansu i baroku. Od Kallimacha do Potockiego
1,HS1,dr,"Uniwersytet Warszawski, Wydział Orientalistyczny","Debaty wokół budowy meczetu w Warszawie i innych miastach europejskich. Stan prawny, podmioty budujące, przyczyny protes..."
3,HS1,dr,"Uniwersytet Warszawski, Wydział Orientalistyczny",Status prawny islamu jako religii w Rzeczpospolitej Polskiej i jego wpływ na funkcjonowanie mniejszości muzułmańskiej w ...
1,HS5,dr,Akademia Leona Koźmińskiego,Implementacja reform wprowadzonych na mocy Traktatu z Lizbony w odniesieniu do roli parlamentów narodowych w sprawach UE...
2,HS6,dr,Instytut Filozofii i Socjologii PAN,Wpływ spuścizny feudalnej oraz funkcje współczesnych elit post-szlacheckich w kształtowaniu modelu obywatelstwa w Polsce...
1,HS5,dr,AKADEMIA WYCHOWANIA FIZYCZNEGO WE WROCŁAWIU,Modele międzysektorowej polityki turystycznej i ich zróżnicowania w strefach podmiejskich dużych miast na przykładzie ag...
2,HS4,dr,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie, Wydział Zastosowań Informatyki i Matematyki, Katedra Informatyki",Modelowanie zmienności i ryzyka z wykorzystaniem metod ślepej identyfikacji oraz systemu Extended Generalized Lambda Dis...
11,ST8,dr,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie, Wydział Metali Nieżelaznych",Synteza i analiza właściwości katalitycznych stopów z grupy metali przejściowych modyfikowanych tlenowcami
1,HS2,dr,"Uniwersytet Łódzki, Wydział Filologiczny",Ciało polityczne amerykańskiego poety Roberta Frosta
1,NZ8,dr,"Uniwersytet Śląski w Katowicach, Wydział Biologii i Ochrony Środowiska",Filogeneza i ewolucja uprawnych i dziko rosnących gatunków Chenopodium
1,ST4,dr,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Chemii",Precyzyjne obliczenia kwantowo-chemiczne dla lekkich układów atomowych i molekularnych
1,HS4,dr,Instytut Geografii i Przestrzennego Zagospodarowania im. S. Leszczyckiego PAN,"Mniejszość polska w krajobrazie społeczno-politycznym Białorusi, Litwy i Łotwy"
1,HS5,dr,Instytut Geografii i Przestrzennego Zagospodarowania im. S. Leszczyckiego PAN,Atlas Wyborczy Polski
7,HS4,dr,"Uniwersytet Ekonomiczny we Wrocławiu, Wydział Zarządzania, Informatyki i Finansów",Zarządzanie środkami pieniężnymi w małych i średnich przedsiębiorstwach realizujących pełen cykl operacyjny
1,NZ7,dr,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie, Wydział Medycyny Weterynaryjnej, Katedra Nauk Przedklinicznych",Ocena działania toksycznego glifosatu i jego handlowego preparatu na modelu izolowanych wycinków przewodu pokarmowego
1,NZ4,dr,"Uniwersytet Jagielloński - Collegium Medicum, Collegium Medicum, Wydział Farmaceutyczny",Ocena zdolności protekcyjnych rezweratrolu i kwercetyny w modelach neurotoksyczności indukowanej glinem i manganem
6,HS4,dr,"Uniwersytet Ekonomiczny we Wrocławiu, Wydział Zarządzania, Informatyki i Finansów",Medyczne konta oszczędnościowe jako metoda finansowania ochrony zdrowia
